
2018-09-19 22:44:33,861 p=5044 u=root |    hosts (10):
2018-09-19 22:44:33,862 p=5044 u=root |      loadbalancer1.b39a.internal
2018-09-19 22:44:33,862 p=5044 u=root |      master1.b39a.internal
2018-09-19 22:44:33,862 p=5044 u=root |      master2.b39a.internal
2018-09-19 22:44:33,862 p=5044 u=root |      master3.b39a.internal
2018-09-19 22:44:33,862 p=5044 u=root |      infranode1.b39a.internal
2018-09-19 22:44:33,862 p=5044 u=root |      infranode2.b39a.internal
2018-09-19 22:44:33,862 p=5044 u=root |      node1.b39a.internal
2018-09-19 22:44:33,862 p=5044 u=root |      node2.b39a.internal
2018-09-19 22:44:33,862 p=5044 u=root |      node3.b39a.internal
2018-09-19 22:44:33,862 p=5044 u=root |      support1.b39a.internal
